"Documentos","Turma","Disciplina","C.H.","Depto","Cursos - Ano/Sem. - Prioridade","Vagas por Curso","Vagas Calouro Veterano","","Matriculados","Atendidas","Pendentes Prioritárias Sujeitas Aprovação","","Não atendidas Prioritárias Sujeitas Aprovação","","Aprovados","Reprovados","Ausência Remota","Docente(s)","Horário","Modo de Oferta","Tipo de Oferta","Periodicidade"
"","GEL005115-GEOLOGIA","Geologia Estrutural","120.0","DG","1323E - 3/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","54","0","0","0","0","0","0","0","0","George Luiz Luvizotto Rodrigo Irineu Cerri","Sexta: 08:00-12:00 Quinta: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL005215-GEOLOGIA","Geoprocessamento e Cartografia Geológica","60.0","DG","1323E - 3/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","32","0","0","0","0","0","0","0","0","Lucas Moreira Furlan","Terça: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL007215-GEOLOGIA","Geodiversidade, Geoconservação e Geoparques - optativa","60.0","DG","1317E - / - Optativa - Integral","1317E - /","0","20","15","0","0","0","0","0","0","0","0","Matheus Lisboa Nobre da Silva","Quarta: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","PEM628315-ENG.AMB.","Geoquímica Ambiental","60.0","DG","0903ES - 4/1 - Obrigatória - Integral","0903ES - /","0","100","21","0","0","0","0","0","0","0","0","Daniel Marcos Bonotto","Terça: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","PEM635415-GEOLOGIA","Geologia Econômica I","60.0","DG","1317E - 4/1 - Obrigatória - Integral","1317E - /","0","100","19","0","0","0","0","0","0","0","0","Washington Barbosa Leite Junior Rodrigo Prudente de Melo Nelson Angeli","Terça: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GAP233115B-GEOLOGIA","Trabalho de Conclusão de Curso I","60.0","DG","1317E - 5/1 - Obrigatória - Integral","1317E - /","0","100","1","5","0","0","0","0","0","0","0","Matheus Lisboa Nobre da Silva Guillermo Rafael Beltran Navarro","Sábado: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GAP233215A-GEOLOGIA","Trabalho de Conclusão de Curso II","60.0","DG","1317E - 5/2 - Obrigatória - Integral","1317E - /","0","100","0","15","0","0","0","0","0","0","0","Matheus Lisboa Nobre da Silva Guillermo Rafael Beltran Navarro","Sábado: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA23291601TN","Geologia","60.0","DG","CBN15C - 2/2 - Obrigatória - Noturno CBN19C - 2/2 - Obrigatória - Noturno CBN23C - 2/2 - Obrigatória - Noturno CBI15C - Equivalente CBI19C - Equivalente CBI23C - Equivalente","CBN15C - / CBN19C - / CBN23C - / CBI15C - / CBI19C - / CBI23C - /","6","25","0","0","19","1","0","0","0","0","0","","Sexta: 19:00-23:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA23321601TI","Paleobiologia","60.0","DG","CBI15C - 2/2 - Obrigatória - Integral CBI19C - 2/2 - Obrigatória - Integral CBI23C - 2/2 - Obrigatória - Integral CBN15C - Equivalente CBN19C - Equivalente CBN23C - Equivalente","CBI15C - / CBI19C - / CBI23C - / CBN15C - / CBN19C - / CBN23C - /","6","40","0","0","35","20","0","0","0","0","0","","Quarta: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA23331601T","Geologia","90.0","DG","0308EC - 1/2 - Obrigatória - Integral","0308EC - /","0","30","0","0","3","0","0","0","0","0","0","","Sexta: 08:00-12:00 Sexta: 14:00-16:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA242515-GEOLOGIA","Geologia do Brasil","60.0","DG","1317E - 4/2 - Obrigatória - Integral","1317E - /","0","100","0","22","0","0","0","0","0","0","0","Lucas Veríssimo Warren","Sexta: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA244515-GEOLOGIA","Metodologia Científica","30.0","DG","1317E - 2/2 - Obrigatória - Integral","1317E - /","0","100","0","5","0","0","0","0","0","0","0","Matheus Lisboa Nobre da Silva","Segunda: 08:00-10:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA245915-GEOLOGIA","Prospecção e Pesquisa Mineral II","60.0","DG","1317E - 4/2 - Obrigatória - Integral","1317E - /","0","100","0","8","0","0","0","0","0","0","0","Cesar Augusto Moreira","Terça: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA246015-GEOLOGIA","Geoestatística","60.0","DG","1317E - 4/2 - Obrigatória - Integral 0903ES - Equivalente","1317E - / 0903ES - /15","0","100","0","17","0","0","0","0","0","0","0","Dionisio Uendro Carlos","Segunda: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA246115-GEOLOGIA","Hidrogeologia","60.0","DG","1317E - 4/2 - Obrigatória - Integral 0903ES - Equivalente","1317E - / 0903ES - /15","0","100","0","28","0","0","0","0","0","0","0","Chang Hung Kiang","Quinta: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA246215-GEOLOGIA","Introdução ao Trabalho de Conclusão de Curso","30.0","DG","1317E - 4/2 - Obrigatória - Integral","1317E - /","0","100","1","24","0","0","0","0","0","0","0","Reinaldo Jose Bertini","Terça: 10:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA247415-GEOLOGIA","Aspectos Geológicos sobre Evolução e Paleobiologia de Vertebrados - Optativa","60.0","DG","1317E - / - Optativa - Integral","1317E - /","0","18","0","1","0","0","0","0","0","0","0","Reinaldo Jose Bertini","Segunda: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL000915-GEOLOGIA","Geologia Geral II","90.0","DG","1323E - 1/2 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","35","65","3","4","0","0","0","0","0","0","0","Giancarlo Scardia José Alexandre de Jesus Perinotto","Sexta: 14:00-16:00 Sexta: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL001015-GEOLOGIA","Mineralogia Sistemática","90.0","DG","1323E - 1/2 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","35","65","3","12","0","0","0","0","0","0","0","Guillermo Rafael Beltran Navarro","Terça: 14:00-16:00 Quarta: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
