"Documentos","Turma","Disciplina","C.H.","Depto","Cursos - Ano/Sem. - Prioridade","Vagas por Curso","Vagas Calouro Veterano","","Matriculados","Atendidas","Pendentes Prioritárias Sujeitas Aprovação","","Não atendidas Prioritárias Sujeitas Aprovação","","Aprovados","Reprovados","Ausência Remota","Docente(s)","Horário","Modo de Oferta","Tipo de Oferta","Periodicidade","Brave"
"","GPA000915-GEOG-INT","Fundamentos de Climatologia","60.0","DGPA","1215C - N - Equivalente 1223C - I - 1/1 - Obrigatória - Integral 1223C - N - Equivalente 1317E - Equivalente","1215C - N - /5 1223C - I - / 1223C - N - /5 1317E - /5","40","60","38","0","0","0","0","0","0","0","0","Karime Pechutti Fante","Quarta: 08:00-12:00 (G4S5)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GPA000915-GEOG-NOT","Fundamentos de Climatologia","60.0","DGPA","1223C - N - Equivalente 1215C - N - Equivalente 1223C - I - 1/1 - Obrigatória - Integral 1317E - Equivalente","1223C - N - / 1215C - N - / 1223C - I - /5 1317E - /5","40","60","38","0","0","0","0","0","0","0","0","Karime Pechutti Fante","Quarta: 19:00-23:00 (G4S5)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GPA003915-GEOG-INT","Geomorfologia","60.0","DGPA","1317E - Equivalente 1323E - Equivalente 1223C - I - 2/1 - Obrigatória - Integral 1215C - I - Equivalente 1223C - N - Equivalente 0903ES - Equivalente","1317E - /5 1323E - /5 1223C - I - / 1215C - I - / 1223C - N - /8 0903ES - /5","0","100","38","0","0","0","0","0","0","0","0","Cenira Maria Lupinacci","Terça: 08:00-12:00 (G4S4)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GPA003915-GEOG-INT","Geomorfologia","60.0","DGPA","1317E - Equivalente 1323E - Equivalente 1223C - I - 2/1 - Obrigatória - Integral 1215C - I - Equivalente 1223C - N - Equivalente 0903ES - Equivalente","1317E - /5 1323E - /5 1223C - I - / 1215C - I - / 1223C - N - /8 0903ES - /5","0","100","38","0","0","0","0","0","0","0","0","Cenira Maria Lupinacci","Terça: 08:00-12:00 (G4S4)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GPA003915-GEOG-NOT","Geomorfologia","60.0","DGPA","1317E - Equivalente 1323E - Equivalente 1223C - N - Equivalente 1223C - I - 2/1 - Obrigatória - Integral 1215C - I - Equivalente 0903ES - Equivalente","1317E - /5 1323E - /5 1223C - N - / 1223C - I - /5 1215C - I - /5 0903ES - /5","0","100","38","0","0","0","0","2","0","0","0","Melina Fushimi","Segunda: 19:00-23:00 (G4S4)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GPA003915-GEOG-NOT","Geomorfologia","60.0","DGPA","1317E - Equivalente 1323E - Equivalente 1223C - N - Equivalente 1223C - I - 2/1 - Obrigatória - Integral 1215C - I - Equivalente 0903ES - Equivalente","1317E - /5 1323E - /5 1223C - N - / 1223C - I - /5 1215C - I - /5 0903ES - /5","0","100","38","0","0","0","0","2","0","0","0","Melina Fushimi","Segunda: 19:00-23:00 (G4S4)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GPA008715-GEOLOGIA","Geomorfologia","60.0","DGPA","1323E - 3/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","19","0","0","1","0","0","0","0","0","Fabiano Tomazini da Conceição","Terça: 08:00-12:00 (G1S4)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","GPA008715-GEOLOGIA","Geomorfologia","60.0","DGPA","1323E - 3/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","19","0","0","1","0","0","0","0","0","Fabiano Tomazini da Conceição","Terça: 08:00-12:00 (G1S4)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","MAT008215-GEOLOGIA","Geometria Analítica e Álgebra Linear","60.0","DM","1323E - 1/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","35","65","34","0","1","0","0","0","0","0","0","Guilherme Henrique Gomes da Silva","Segunda: 14:00-18:00 (G1S1)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","MAT008215-GEOLOGIA","Geometria Analítica e Álgebra Linear","60.0","DM","1323E - 1/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","35","65","34","0","1","0","0","0","0","0","0","Guilherme Henrique Gomes da Silva","Segunda: 14:00-18:00 (G1S1)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
"","MAT008315-GEOLOGIA","Cálculo Diferencial e Integral I","60.0","DM","1323E - 1/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","35","65","35","0","0","0","0","0","0","0","0","Jamil Viana Pereira","Quinta: 14:00-18:00 (G1S1)","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal","Não"
